id,"number","description","customer","location",productionPerHour,peopleRequired
2099,"105805","even touch-natural","NMG","495",1980,6
2098,"105796s","SAD LIQUID LIP COLOR beso ","SSL","494",1200,3
2097,"105804","easyliner- black","nmg","495",2800,5
2096,"105796i","SAD LIQUID LIP COLOR-Aria","SSL","494",1200,3
2095,"105796V","SAD LIQUID LIP COLOR VENEZIA ","SSL","494",1200,3
2094,"105798Q","BEDROCK: ICE CREAM DREAM-0MG Q.C","REJ","494",1800,2
2093,"105796M","SAD LIQUID LIP COLOR COMO","SSL","494",1200,3
2092,"105796R","SAD LIQUID LIP COLOR FIERY","SSL","494",1200,3
2091,"105798C","BEDROCK: ICE CREAM DREAM- DONUTS6MG","REJ","494",1800,7
2090,"105796D","SAD LIQUID LIP COLOR DOLCE ","SSL","494",1200,3
2089,"105771","STINGRAY  SMUDGESTICK","SSL","494",1200,4
2088,"105796P","SAD LIQUID LIP COLOR PATINA","SSL","494",1200,3
2087,"105796C","SAD LIQUID LIP COLOR CARINA","SSL","494",1200,3
2086,"105796T","SAD LIQUID LIP COLOR TESORO","SSL","494",1200,3
2085,"105796A","SAD LIQUID LIP COLOR AMORE","ssl","494",1200,3
2084,"105796F","SAD LIQUID LIP COLOR FIORE","SSL","494",1200,3
2083,"105796B","SAD LIQUID LIP COLOR  BELLISSIMA","SSL","494",1200,3
2082,"105623","STINGRAY-SMUDGESTICK","SSL","494",1200,4
2081,"105796","SAD LIQUID LIP COLOR BELLA","SSL","494",1200,3
2080,"105759T","EASY BROW--- NATURAL TAUPE","NMG","495",2800,5
2079,"105632","DAMSEL-SMUDGESTICK ","SSL","494",1200,4
2078,"105630","ALPINE SMUDGESTICK","SSL","494",1200,4
2077,"105778","MIDNIGHT BLUE-SMUDGESTICK","SSL","494",1200,4
2076,"105798B","BEDROCK:ICECREAM DONUTS-3MG","REJ","494",1800,7
2075,"105765H","SAD LIQUID LIP COLOR ARIA","SSL","494",1200,3
2074,"105672F","Concealer Shrink Sleeve 04","NMG","494",2400,4
2073,"105756O","RING DROPS: BLUE RASPBERRY-6MG","REJ","494",1800,5
2072,"105799","BLACK AMETHYST SMUDGE STICK ","SSL","494",1200,5
2071,"105756L","RING DROPS:STRAWBERRY WATERMELON-6MG","REJ","494",1800,5
2070,"105798A","BEDROCK: ICE CREAM DREAM-0MG","REJ","494",1800,7
2069,"105756N","RING DROP BLUE RASPERRY 3MG","REJ","494",1800,5
2068,"105792Z","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
2067,"105756m","RING DROPS BLUE RASPBERRY","REJ","494",1800,5
2066,"105792A","ULTRASONIC ESSENTIAL DIFFUSER KIT","HLL","495",1080,6
